id,jp,model,alts
1,紙をリサイクルすることは森林を守るのに本当に重要です．,Recycling paper is really important to save forests.,to save=>for saving|to save=>to protect|to save=>for protecting
2,彼女の趣味は鉄道模型(model railways)を作ることです．,Her hobby is making model railways.,
3,今日の新聞を読み終わりましたか．,Have you finished reading today’s paper?,paper=>newspaper
4,寝る前に歯を磨きなさい．,Brush your teeth before going to bed.,
5,時間どおり来なくてごめんなさい．,Excuse me for not coming on time.,Excuse me=>I'm sorry
6,彼女は（自分が）弁護士であることを誇りに思っている．,She is proud of being a lawyer.,
7,彼女は自分の息子が弁護士であることを誇りに思っている．,She is proud of her son being a lawyer.,son=>son's
8,メグはチームの(on the team)レギュラー選手であることを誇らしく思っている．,Meg is proud of being a regular player on the team.,
9,メグはチームの(on the team)レギュラー選手だったことを誇らしく思っている．/メグは（今まで）ずっとチームのレギュラー選手であることを誇らしく思っている．,Meg is proud of having been a regular player on the team.,
10,私は子供扱いされるのは大嫌いだ．,I hate being treated like a child.,
11,私のかばんは修理する〔←修理される〕必要がある．（４語）,My bag needs mending.,mending=>repairing|※破れ・ほつれを直すのがmend、広く壊れたものを直すのがrepair
